C-id,Country,All Players,Registered players,Unregistered Players,Clubs,Officials
113,Moldova,"168,570","10,420","158,150",89,711
114,Mongolia,"51,220","5,220","46,000",10,103
115,Morocco,"1,628,016","165,016","1,463,000",599,"8,651"
116,Mozambique,"885,700","35,700","850,000",170,"6,100"
117,Myanmar,"1,122,039","132,659","989,380",605,"3,750"
118,Namibia,"136,960","40,460","96,500",101,"1,645"
119,Nepal,"477,800","13,800","464,000",110,"2,300"
120,Netherlands,"1,745,860","1,138,860","607,000","4,856","11,238"
121,New Zealand,"198,757","102,257","96,500",342,"19,800"
122,Nicaragua,"467,031","120,677","346,354","1,281","5,770"
123,Niger,"542,711","7,711","535,000",120,"1,338"
124,Nigeria,"6,653,710","58,710","6,595,000",52,"33,122"
125,Norway,"543,165","352,165","191,000","3,218","7,201"
126,Oman,"57,610","8,610","49,000",43,605
127,Pakistan,"2,975,400","64,400","2,911,000",720,"9,900"
128,Panama,"203,400","52,600","150,800",588,"2,000"
129,Papua New Guinea,"196,900","68,800","128,100",463,"6,400"
130,Paraguay,"1,037,435","87,435","950,000","1,709","4,002"
131,Peru,"1,891,790","238,790","1,653,000","2,100","4,182"
132,Philippines,"1,668,765","30,675","1,638,090",85,299
133,Poland,"2,000,264","656,964","1,343,300","5,891","71,758"
134,Portugal,"547,734","132,734","415,000","2,748","38,471"
135,Puerto Rico,"222,670","23,770","198,900",77,"9,617"
136,Qatar,"18,156","6,556","11,600",16,530
137,Romania,"1,034,320","108,620","925,700","2,832","20,883"
138,Russia,"5,802,536","846,736","4,955,800","14,329","259,830"
139,Rwanda,"386,400","10,900","375,500",110,"2,000"
140,Samoa,"5,700","2,300","3,400",63,400
141,San Marino,"2,836","1,586","1,250",17,260
142,Saudi Arabia,"438,644","15,144","423,500",153,"1,292"
143,Senegal,"661,685","176,685","485,000",195,"5,024"
144,Seychelles,"5,860","2,060","3,800",20,390
145,Sierra Leone,"259,630","6,480","253,150",24,"2,463"
146,Singapore,"197,003","10,003","187,000",54,"1,516"
147,Slovakia,"622,668","428,968","193,700","2,432","18,773"
148,Slovenia,"116,925","30,725","86,200",340,"5,818"
149,Solomon Islands,"26,820","8,820","18,000",212,560
150,Somalia,"546,268","28,868","517,400",56,"7,330"
151,South Africa,"4,540,410","1,469,410","3,071,000",900,"20,557"
152,Spain,"2,834,190","653,190","2,181,000","18,190","62,573"
153,Sri Lanka,"429,150","51,150","378,000",583,"2,220"
154,St. Kitts and Nevis,"3,500","1,500","2,000",31,100
155,St. Lucia,"11,023","3,063","7,960",41,390
156,St. Vincent and the Grenadines,"9,500","4,400","5,100",52,505
157,Sudan,"1,567,300","46,300","1,521,000",440,"8,800"
158,Suriname,"35,250","9,250","26,000",31,375
159,Swaziland,"54,900","5,000","49,900",60,900
160,Sweden,"1,006,939","552,939","454,000","4,236","24,950"
161,Switzerland,"571,700","232,700","339,000","1,806","257,783"
162,Syria,"430,800","34,600","396,200",170,"4,300"
163,Tajikistan,"132,893","3,743","129,150",50,323
164,Tanzania,"226,518","26,318","200,200",204,"8,775"
165,Thailand,"1,298,000","28,600","1,269,400",150,"6,600"
166,Togo,"242,400","9,800","232,600",100,"3,300"
167,Tonga,"5,000","3,200","1,800",105,200
168,Trinidad and Tobago,"84,600","16,600","68,000",98,900
169,Tunisia,"525,264","51,829","473,435",274,"7,624"
170,Turkey,"2,748,657","197,657","2,551,000","4,450","208,027"
171,Turkmenistan,"100,415","1,415","99,000",15,195
172,Uganda,"1,191,514","46,514","1,145,000",402,"5,600"
173,Ukraine,"2,273,017","692,317","1,580,700",70,"15,580"
174,United Arab Emirates,"82,776","7,776","75,000",31,986
176,Uruguay,"241,300","41,800","199,500","1,220","2,600"
175,USA,"24,472,778","4,186,778","20,286,000","9,000","796,300"
177,Uzbekistan,"730,200","36,900","693,300",216,"1,325"
178,Vanuatu,"27,400","6,400","21,000",230,316
179,Venezuela,"1,490,573","60,173","1,430,400",920,"9,132"
180,Vietnam,"1,874,350","24,150","1,850,200",35,"10,652"
181,Yemen,"383,300","9,200","374,100",110,502
182,Zambia,"1,024,817","29,211","995,606",918,"11,559"
183,Zimbabwe,"651,400","34,600","616,800",350,"3,100"
