Game ID,Week,Date,Home,Score,Score,Visitor
1,1,3/6/16,NY Red Bulls,0,2,Toronto FC
2,1,3/6/16,Orlando,2,2,Real Salt Lake
3,1,3/6/16,Houston,3,3,New England
4,1,3/6/16,Portland,2,1,Columbus
5,1,3/6/16,Seattle,0,1,Sporting KC
6,1,3/6/16,Chicago,3,4,NYCFC
7,1,3/6/16,FC Dallas,2,0,Philadelphia
8,1,3/6/16,San Jose,1,0,Colorado
9,1,3/6/16,Vancouver,2,3,Montreal
10,1,3/6/16,LA Galaxy,4,1,DC United
11,2,3/11/16,Orlando,1,1,Chicago
12,2,3/12/16,New England,0,0,DC United
13,2,3/12/16,Real Salt Lake,2,1,Seattle
14,2,3/12/16,Columbus,1,2,Philadelphia
15,2,3/12/16,Sporting KC,2,1,Vancouver
16,2,3/12/16,Montreal,3,0,NY Red Bulls
17,2,3/12/16,Colorado,1,0,LA Galaxy
18,2,3/12/16,Houston,5,0,FC Dallas
19,2,3/13/16,NYCFC,2,2,Toronto FC
20,2,3/13/16,San Jose,2,1,Portland
21,3,3/18/16,NYCFC,0,1,Orlando
22,3,3/19/16,Chicago,0,0,Columbus
23,3,3/19/16,FC Dallas,2,0,Montreal
24,3,3/19/16,LA Galaxy,3,1,San Jose
25,3,3/19/16,NY Red Bulls,4,3,Houston
26,3,3/19/16,Seattle,1,2,Vancouver
27,3,3/19/16,Portland,2,2,Real Salt Lake
28,3,3/20/16,Philadelphia,3,0,New England
29,3,3/20/16,Sporting KC,1,0,Toronto FC
30,3,3/20/16,DC United,1,1,Colorado
31,4,3/26/16,NYCFC,1,1,New England
32,4,3/26/16,Vancouver,1,0,Houston
33,4,3/26/16,DC United,0,3,FC Dallas
34,5,4/1/16,New England,1,0,NY Red Bulls
35,5,4/2/16,Chicago,1,0,Philadelphia
36,5,4/2/16,Sporting KC,1,2,Real Salt Lake
37,5,4/2/16,Seattle,1,0,Montreal
38,5,4/2/16,San Jose,1,1,DC United
39,5,4/2/16,Colorado,1,0,Toronto FC
40,5,4/2/16,FC Dallas,1,1,Columbus
41,5,4/2/16,Vancouver,0,0,LA Galaxy
42,5,4/3/16,Orlando,4,1,Portland
43,6,4/8/16,Philadelphia,2,1,Orlando
44,6,4/9/16,Montreal,2,0,Columbus
45,6,4/9/16,DC United,4,0,Vancouver
46,6,4/9/16,FC Dallas,2,2,San Jose
47,6,4/9/16,New England,1,1,Toronto FC
48,6,4/9/16,NY Red Bulls,0,2,Sporting KC
49,6,4/9/16,Real Salt Lake,1,0,Colorado
50,6,4/10/16,Houston,1,1,Seattle
51,6,4/10/16,LA Galaxy,1,1,Portland
52,6,4/10/16,NYCFC,0,0,Chicago
53,7,4/13/16,Sporting KC,1,2,Colorado
54,7,4/13/16,San Jose,2,0,NY Red Bulls
55,7,4/13/16,Portland,1,3,FC Dallas
56,7,4/15/16,Houston,1,4,LA Galaxy
57,7,4/16/16,Chicago,2,1,Montreal
58,7,4/16/16,Columbus,1,2,NYCFC
59,7,4/16/16,Real Salt Lake,1,0,Vancouver
60,7,4/16/16,Portland,2,0,San Jose
61,7,4/16/16,DC United,0,1,Toronto FC
62,7,4/16/16,Colorado,2,1,NY Red Bulls
63,7,4/16/16,Seattle,2,1,Philadelphia
64,7,4/17/16,Orlando,2,2,New England
65,7,4/17/16,FC Dallas,2,1,Sporting KC
66,8,4/23/16,Montreal,0,2,Toronto FC
67,8,4/23/16,Philadelphia,2,0,NYCFC
68,8,4/23/16,DC United,3,0,New England
69,8,4/23/16,Columbus,1,0,Houston
70,8,4/23/16,Colorado,3,1,Seattle
71,8,4/23/16,LA Galaxy,5,2,Real Salt Lake
72,8,4/23/16,Vancouver,3,0,FC Dallas
73,8,4/24/16,San Jose,1,0,Sporting KC
74,8,4/24/16,NY Red Bulls,3,2,Orlando
75,9,4/27/16,NYCFC,1,1,Montreal
76,9,4/27/16,New England,1,1,Portland
77,9,4/27/16,Vancouver,1,1,Sporting KC
78,9,4/29/16,NY Red Bulls,4,0,FC Dallas
79,9,4/30/16,Montreal,2,2,Colorado
80,9,4/30/16,Philadelphia,1,1,San Jose
81,9,4/30/16,Seattle,1,0,Columbus
82,9,4/30/16,NYCFC,3,2,Vancouver
83,9,4/30/16,Chicago,1,1,DC United
84,9,4/30/16,New England,2,2,Orlando
85,9,4/30/16,Real Salt Lake,2,1,Houston
86,10,5/6/16,Orlando,1,1,NY Red Bulls
87,10,5/7/16,Vancouver,2,1,Portland
88,10,5/7/16,Columbus,4,4,Montreal
89,10,5/7/16,Toronto FC,1,0,FC Dallas
90,10,5/7/16,Houston,2,0,Sporting KC
91,10,5/7/16,Colorado,1,0,Real Salt Lake
92,10,5/7/16,Seattle,2,0,San Jose
93,10,5/8/16,LA Galaxy,4,2,New England
94,10,5/8/16,DC United,0,2,NYCFC
95,11,5/11/16,Philadelphia,2,2,LA Galaxy
96,11,5/11/16,Colorado,1,0,Sporting KC
97,11,5/11/16,FC Dallas,2,1,Portland
98,11,5/11/16,Vancouver,2,1,Chicago
99,11,5/11/16,San Jose,3,1,Houston
100,11,5/13/16,DC United,2,0,NY Red Bulls
101,11,5/14/16,Montreal,1,1,Philadelphia
102,11,5/14/16,Columbus,1,1,Colorado
103,11,5/14/16,New England,2,0,Chicago
104,11,5/14/16,Toronto FC,3,4,Vancouver
105,11,5/14/16,FC Dallas,2,0,Seattle
106,11,5/15/16,Houston,1,0,Real Salt Lake
107,11,5/15/16,Sporting KC,2,1,Orlando
108,11,5/15/16,Portland,1,2,NYCFC
109,12,5/18/16,Toronto FC,1,1,NYCFC
110,12,5/18/16,NY Red Bulls,1,0,Chicago
111,12,5/20/16,Philadelphia,1,0,DC United
112,12,5/21/16,NYCFC,0,7,NY Red Bulls
113,12,5/21/16,Chicago,1,0,Houston
114,12,5/21/16,Toronto FC,0,0,Columbus
115,12,5/21/16,Chicago,1,0,Houston
116,12,5/21/16,New England,2,4,FC Dallas
117,12,5/21/16,Orlando,2,1,Montreal
118,12,5/21/16,Sporting KC,1,3,Real Salt Lake
119,12,5/21/16,Seattle,0,1,Colorado
120,12,5/22/16,Portland,4,2,Vancouver
121,12,5/22/16,LA Galaxy,1,1,San Jose
122,13,5/25/16,Orlando,2,2,Philadelphia
123,13,5/27/16,Sporting KC,0,1,DC United
124,13,5/28/16,Vancouver,1,1,Houston
125,13,5/28/16,NY Red Bulls,3,0,Toronto FC
126,13,5/28/16,New England,2,1,Seattle
127,13,5/28/16,Columbus,4,3,Real Salt Lake
128,13,5/28/16,Chicago,1,1,Portland
129,13,5/28/16,Colorado,1,1,Philadelphia
130,13,5/28/16,San Jose,0,0,FC Dallas
131,13,5/29/16,NYCFC,2,2,Orlando
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
